local_id,state_id
44369,9639391770
46856,3924055315
44974,7421969474
44353,9051069126
45067,9619468402
44417,7270755478
44469,4230764965
47043,6456961833
47158,6678517757
46294,2578357451
46054,4773002905
44746,2132912485
44419,1638572073
44720,5294053170
47149,8389843751
44940,5689564773
47033,3738736710
44895,3953155836
46878,8207996264
44721,3903114600
45318,7112440170
45699,5316062916
44723,9488679895
45000,2309852261
47039,6345187435
44849,3492543677
47145,8499621251
44715,1371393808
44725,7634167402
45319,3138764218
44728,5194766395
47179,3290132362
44949,2753985690
47214,5297629331
47159,6579627232
44729,4904426970
45751,4387704478
44731,4786069680
45022,7762045803
46550,2654090897
47228,3074110288
46968,3865651468
44735,3772112297
47170,2011865591
47059,5943874860
44775,9747603538
44814,7517387204
44872,9081513775
45723,9686129692
44816,6923486643
44956,1054963787
44881,3462993516
44841,7381006626
44742,9330494758
44906,4053487263
47142,2570937322
46457,5070178157
44870,2509409193
45350,3124918045
47196,1368308744
44788,9079467366
47163,6748364351
44714,5425934567
44875,8263259515
44886,9534091397
44470,5032397114
44475,6006637798
44451,2027479678
44748,4503487972
47128,4284416406
44482,1355676502
44796,8487980831
44702,5238996208
44752,1221064064
45340,3160370968
44793,5982259645
47146,5271063502
44694,9546756726
47041,2015773863
44794,4658021818
44710,8476884527
44791,5995429762
47212,6698103423
45009,8101302737
47045,1506579017
44863,1166442840
47037,7932020837
46813,3122898502
44461,5425134366
46003,6521076786
44719,1027881178
47042,2780382778
44734,5616178413
45002,9521357376
46367,9460612675
47151,8235615251
46295,1673919101
44754,6341616652
45057,4575477508
44477,7370972460
44868,3412518524
44869,5234716440
44877,5020801345
44420,9512396910
44466,8412714900
44838,4680132085
44803,6387427552
46790,4176286874
44460,6255057014
44958,2627301330
46418,6221044642
44799,4360012806
47193,1612698063
44421,1995921426
44698,5506191371
45263,3911846062
44810,2625320237
44457,2388181882
44767,3753239545
45733,2536908298
44924,3570258374
44422,7625570657
44488,3354562967
44833,3702213898
44834,9776851176
44483,7581570028
44474,6401286090
44835,1387656167
46771,1375705247
44944,3992710656
44880,2309069790
47213,7387445700
45010,2064917057
47161,7768461813
47135,8101391995
44757,2696928636
46481,6082458311
44713,8452232627
44892,9369077916
46516,4601439898
44473,8779957312
46382,8671051023
46375,8478056654
47188,9217465841
47183,1508023664
44478,7147145351
44722,4027263208
44842,6978171126
44779,8902037711
45749,1731914370
44760,2332084937
47184,2197765991
45459,2585881067
44712,5354648087
44843,5046226637
44845,3364452461
44813,4544156553
44804,4218493781
44809,3144909745
47153,6399065362
47182,4200155280
44824,9656094330
44696,5723062446
44529,4690672626
47046,8144980953
46889,1198196774
47194,4078860930
47195,5168472030
46484,1211892254
46482,5756595917
44699,5087238445
44890,9935872288
46778,3626638874
46777,1883499445
44873,6307759754
44887,9589695254
44815,7917307132
46020,8479464928
44744,6744659984
44852,5637790416
44780,7914382402
47150,9052182887
47032,6591864881
44375,5097068853
44759,5323672236
44855,6632018425
44459,5749495007
47047,4268497476
47034,5180557307
47164,1612658070
44423,5617429007
46703,1083129221
44787,1606934081
44431,9437551525
44703,5247184680
47202,3431456932
44832,2734778485
44733,5905726852
47125,6687014657
46264,3275322456
46822,6751249018
44820,6196544133
44472,2730077965
44859,2433863698
45404,3976192427
45250,7171007185
44987,8503130924
46071,2661763307
44854,3503266547
44446,2955945407
47211,8590278892
47167,1001538011
45809,3498075213
44839,1496921488
44800,1545436225
44480,9754306727
44468,3983508101
44811,8008733531
44452,5630256180
47148,6130337995
44860,4054331597
44693,6796621530
